📺港台频道,#genre#
CCTV12,rtsp://115.153.212.72/PLTV/88888888/224/3221226829/59814709.smil
CCTV12,http://171.14.89.201:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://58.220.219.14:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://58.19.13.92:9901/tsfile/live/1011_1.m3u8
CCTV12,http://183.134.3.22:8888/newlive/live/hls/13/live.m3u8
CCTV12,http://111.59.63.32:9901/tsfile/live/1019_1.m3u8
CCTV12,http://opdf.top:8088/udp/239.81.0.119:4056

CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV13,rtsp://115.153.245.70/PLTV/88888888/224/3221227037/87447722.smil
CCTV13,rtsp://115.153.233.154/PLTV/88888888/224/3221227037/87447722.smil
CCTV13,rtsp://115.153.212.72/PLTV/88888888/224/3221227037/87447722.smil
CCTV13,http://171.14.89.201:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://pi.0472.org/tv/cbn.php?id=xfjcHD
CCTV13,https://pi.0472.org/tv/hn.php?id=154
CCTV13,https://pi.0472.org/tv/fct.php?auth=231110
CCTV13,https://pi.0472.org/tv/aoya.php?auth=230918
CCTV13,https://pi.0472.org/tv/asam.php?auth=230918
CCTV13,https://pi.0472.org/tv/mzt.php?auth=230918
CCTV13,http://58.220.219.14:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://221.2.146.228:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://183.134.3.22:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://58.19.13.92:9901/tsfile/live/1012_1.m3u8
CCTV13,http://58.19.38.233:8888/newlive/live/hls/15/live.m3u8
CCTV13,http://opdf.top:8088/udp/239.81.0.206:4056
CCTV13,http://opdf.top:8088/udp/239.81.0.206:4056

CCTV15,rtsp://115.153.245.70/PLTV/88888888/224/3221226988/85722541.smil
CCTV15,rtsp://115.153.233.154/PLTV/88888888/224/3221226988/85722541.smil
CCTV15,rtsp://115.153.212.72/PLTV/88888888/224/3221226988/85722541.smil
CCTV15,http://171.14.89.201:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://221.2.146.228:8888/newlive/live/hls/16/live.m3u8
CCTV15,http://opdf.top:8088/udp/239.81.0.230:4056

CCTV17,rtsp://115.153.245.70/PLTV/88888888/224/3221226846/61397282.smil
CCTV17,rtsp://115.153.233.154/PLTV/88888888/224/3221226846/61397282.smil
CCTV17,rtsp://115.153.212.72/PLTV/88888888/224/3221226846/61397282.smil
CCTV17,http://opdf.top:8088/udp/239.81.0.228:4056

风云音乐,rtsp://115.153.245.70/PLTV/88888888/224/3221226994/86128897.smil
风云音乐,rtsp://115.153.212.72/PLTV/88888888/224/3221226994/86128897.smil
风云音乐,rtsp://115.153.233.154/PLTV/88888888/224/3221226994/86128897.smil

四海钓鱼,rtsp://115.153.245.70/PLTV/88888888/224/3221227048/86502173.smil
四海钓鱼,rtsp://115.153.212.72/PLTV/88888888/224/3221227048/86502173.smil
四海钓鱼,rtsp://115.153.245.70/PLTV/88888888/224/3221227048/86502173.smil

车迷频道,rtsp://115.153.245.70/PLTV/88888888/224/3221227027/86502211.smil
车迷频道,rtsp://115.153.212.72/PLTV/88888888/224/3221227027/86502211.smil
车迷频道,rtsp://115.153.233.154/PLTV/88888888/224/3221227027/86502211.smil
📺江西频道,#genre#
江西卫视,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226961/10000100000000060000000000543478_0.smil
江西都市频道,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227290/10000100000000060000000001722654_0.smil
江西经济生活,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227092/10000100000000060000000000610996_0.smil
江西影视旅游,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227287/10000100000000060000000001899760_0.smil
江西公共农业,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226948/10000100000000060000000000527279_0.smil
江西少儿,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227089/10000100000000060000000000582672_0.smil
江西新闻,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227051/10000100000000060000000000571126_0.smil
江西移动,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227285/10000100000000060000000001842697_0.smil
风尚购物,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227263/10000100000000060000000001461890_0.smil
江西教育,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227283/10000100000000060000000001741171_0.smil

江西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226656/46275837.smil
江西都市频道,rtsp://115.153.245.70/PLTV/88888888/224/3221227069/94448631.smil
江西经济生活,rtsp://115.153.245.70/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游,rtsp://115.153.245.70/PLTV/88888888/224/3221227071/98779894.smil
江西公共农业,rtsp://115.153.245.70/PLTV/88888888/224/3221226708/53213097.smil
江西少儿,rtsp://115.153.245.70/PLTV/88888888/224/3221226938/68733921.smil
江西新闻,rtsp://115.153.245.70/PLTV/88888888/224/3221226650/53190437.smil
江西移动,rtsp://115.153.245.70/PLTV/88888888/224/3221227070/96801473.smil
风尚购物,rtsp://115.153.245.70/PLTV/88888888/224/3221227049/90141188.smil
江西教育,rtsp://115.153.245.70/PLTV/88888888/224/3221226942/69552502.smil

江西卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226656/46275837.smil
江西都市频道,rtsp://115.153.212.72/PLTV/88888888/224/3221227069/94448631.smil
江西经济生活,rtsp://115.153.212.72/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游,rtsp://115.153.212.72/PLTV/88888888/224/3221227071/98779894.smil
江西公共农业,rtsp://115.153.212.72/PLTV/88888888/224/3221226708/53213097.smil
江西少儿,rtsp://115.153.212.72/PLTV/88888888/224/3221226938/68733921.smil
江西新闻,rtsp://115.153.212.72/PLTV/88888888/224/3221226650/53190437.smil
江西移动,rtsp://115.153.212.72/PLTV/88888888/224/3221227070/96801473.smil
风尚购物,rtsp://115.153.212.72/PLTV/88888888/224/3221227049/90141188.smil
江西教育,rtsp://115.153.212.72/PLTV/88888888/224/3221226942/69552502.smil

江西卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221226656/46275837.smil
江西都市频道,rtsp://115.153.233.154/PLTV/88888888/224/3221227069/94448631.smil
江西经济生活,rtsp://115.153.233.154/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游,rtsp://115.153.233.154/PLTV/88888888/224/3221227071/98779894.smil
江西公共农业,rtsp://115.153.233.154/PLTV/88888888/224/3221226708/53213097.smil
江西少儿,rtsp://115.153.233.154/PLTV/88888888/224/3221226938/68733921.smil
江西新闻,rtsp://115.153.233.154/PLTV/88888888/224/3221226650/53190437.smil
江西移动,rtsp://115.153.233.154/PLTV/88888888/224/3221227070/96801473.smil
风尚购物,rtsp://115.153.233.154/PLTV/88888888/224/3221227049/90141188.smil
江西教育,rtsp://115.153.233.154/PLTV/88888888/224/3221226942/69552502.smil

南昌新闻综合,http://live.cooltv.top/tv/nctv.php?id=1
南昌资讯,http://live.cooltv.top/tv/nctv.php?id=3
📺卫视频道,#genre#
山东卫视,http://124.128.73.58:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://124.128.73.58:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://124.128.73.58:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://124.128.73.58:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://124.128.73.58:9901/tsfile/live/0107_2.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://124.128.73.58:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://124.128.73.58:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://124.128.73.58:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://124.128.73.58:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://124.128.73.58:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://124.128.73.58:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://124.128.73.58:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://124.128.73.58:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0

湖北卫视,http://www.furymax.top:85/rtp/239.254.96.115:8664
湖南卫视,http://www.furymax.top:85/rtp/239.254.96.139:8908
浙江卫视,http://www.furymax.top:85/rtp/239.254.96.143:8932
江苏卫视,http://www.furymax.top:85/rtp/239.254.96.144:8938
东方卫视,http://www.furymax.top:85/rtp/239.254.96.142:8926
北京卫视,http://www.furymax.top:85/rtp/239.254.96.141:8920
广东卫视,http://www.furymax.top:85/rtp/239.254.96.140:8914
深圳卫视,http://www.furymax.top:85/rtp/239.254.96.137:8896
天津卫视,http://www.furymax.top:85/rtp/239.69.1.68:10048
山东卫视,http://www.furymax.top:85/rtp/239.69.1.69:10054
东南卫视,http://www.furymax.top:85/rtp/239.69.1.108:10286
江西卫视,http://www.furymax.top:85/rtp/239.69.1.126:10394
东方卫视,http://www.furymax.top:85/rtp/239.69.1.173:10674
江苏卫视,http://www.furymax.top:85/rtp/239.69.1.174:10680
重庆卫视,http://www.furymax.top:85/rtp/239.69.1.149:10530
四川卫视,http://www.furymax.top:85/rtp/239.69.1.169:10650

